3 10 3 16
3 17 0 19
6 19 16 27
1 8 11 28
13 22 13 24
13 22 15 24
1 13 15 29
8 16 6 22
9 18 11 21
14 21 4 18
6 21 19 28
1 19 2 9
7 22 12 26
7 14 9 27
4 19 5 26
13 23 10 27
8 21 2 19
10 20 14 24
1 21 10 26
1 19 14 28
14 22 18 25
7 19 8 29
10 16 0 28
11 19 12 24
5 20 18 29
11 20 16 25
5 19 7 30
8 18 2 10
7 15 14 20
9 23 5 26
10 16 9 21
12 23 5 29
10 20 14 23
3 19 22 29
12 21 10 19
11 22 14 27
7 16 2 29
6 17 11 30
2 12 5 20
8 21 20 26
13 22 6 16
6 19 21 28
8 20 9 23
9 16 19 27
9 17 9 19
13 19 10 28
10 16 12 27
6 14 10 30
6 15 1 27
0 22 14 24
7 17 14 26
13 23 11 21
9 19 8 22
12 23 15 30
7 15 4 21
9 17 8 23
7 21 18 24
6 22 1 22
11 18 14 25
3 16 16 26
12 22 5 12
2 14 11 20
6 17 13 25
14 21 17 28
12 19 2 11
2 22 1 15
6 19 13 19
4 18 4 14
9 22 1 27
8 15 5 16
11 21 18 30
11 17 5 23
5 21 2 28
1 14 17 28
3 9 11 21
12 19 13 30
13 20 12 24
8 18 6 18
0 13 17 28
5 12 16 27
9 21 19 26
8 19 15 21
12 20 6 20
11 23 10 16
7 18 8 25
12 19 2 16
2 20 12 19
14 22 13 29
15 22 10 27
13 20 1 27
2 21 9 22
8 15 7 23
8 20 17 30
13 22 2 10
1 15 0 8
7 19 3 30
1 8 6 23
11 22 9 16
11 19 6 26
11 21 5 16
2 16 10 27
1 12 12 18
6 17 13 20
1 16 2 29
9 18 14 26
6 18 18 27
13 21 6 24
11 20 0 10
7 19 7 28
5 20 12 26
13 22 19 28
7 15 15 24
3 11 5 26
6 20 11 22
6 13 14 22
7 20 19 25
6 18 12 29
6 19 21 28
10 18 10 26
1 20 7 15
8 22 5 16
12 19 14 28
11 19 22 29
9 16 13 21
6 16 16 28
9 19 18 28
13 21 17 27
9 20 2 27
4 16 8 20
7 23 15 24
14 22 6 25
14 21 2 26
15 23 19 27
3 11 7 20
2 8 9 21
6 15 4 22
2 13 17 30
9 17 15 25
10 20 8 28
10 17 20 27
2 10 5 28
12 18 9 19
13 21 12 22
7 18 9 26
1 10 8 22
12 18 19 25
8 21 9 24
8 17 22 28
5 12 20 26
11 17 21 30
2 20 13 26
8 18 2 13
5 14 3 10
1 15 6 25
12 21 13 22
4 15 13 28
2 11 18 27
3 12 13 24
12 19 9 15
10 16 14 22
6 14 16 24
3 21 9 28
0 11 9 24
4 14 18 27
8 20 21 29
1 11 14 22
12 22 1 26
2 16 18 27
2 18 1 25
7 19 5 18
1 19 8 18
1 22 0 18
11 21 12 22
4 22 20 28
1 13 20 26
2 22 0 21
7 19 4 14
12 22 13 30
9 16 3 21
11 18 9 17
11 22 14 25
5 13 15 26
10 22 3 25
6 22 5 13
12 21 4 25
9 17 10 27
