9 18 0.0 30.0
0.0 23.0 14 21
15 18 0.0 30.0
0.0 23.0 5 14
6 19 0.0 30.0
0.0 23.0 25 29
12 19 0.0 30.0
0.0 23.0 14 26
5 14 0.0 30.0
0.0 23.0 7 25
9 14 0.0 30.0
0.0 23.0 6 22
9 12 0.0 30.0
0.0 23.0 18 23
7 17 0.0 30.0
0.0 23.0 22 26
10 17 0.0 30.0
0.0 23.0 14 19
15 19 0.0 30.0
0.0 23.0 21 25
18 22 0.0 30.0
0.0 23.0 8 22
19 22 0.0 30.0
0.0 23.0 5 26
1 3 0.0 30.0
0.0 23.0 6 11
9 15 0.0 30.0
0.0 23.0 26 29
5 18 0.0 30.0
0.0 23.0 19 23
1 10 0.0 30.0
0.0 23.0 25 30
2 8 0.0 30.0
0.0 23.0 20 30
15 18 0.0 30.0
0.0 23.0 8 11
14 21 0.0 30.0
0.0 23.0 22 25
17 19 0.0 30.0
0.0 23.0 23 26
18 22 0.0 30.0
0.0 23.0 22 28
8 10 0.0 30.0
0.0 23.0 2 17
3 8 0.0 30.0
0.0 23.0 26 30
17 22 0.0 30.0
0.0 23.0 26 30
3 15 0.0 30.0
0.0 23.0 24 26
18 20 0.0 30.0
0.0 23.0 19 27
5 23 0.0 30.0
0.0 23.0 18 30
4 11 0.0 30.0
0.0 23.0 19 25
15 19 0.0 30.0
0.0 23.0 12 27
7 23 0.0 30.0
0.0 23.0 22 25
4 13 0.0 30.0
0.0 23.0 3 13
17 22 0.0 30.0
0.0 23.0 9 18
17 21 0.0 30.0
0.0 23.0 0 19
11 19 0.0 30.0
0.0 23.0 17 24
11 18 0.0 30.0
0.0 23.0 6 11
7 14 0.0 30.0
0.0 23.0 8 21
21 23 0.0 30.0
0.0 23.0 6 11
11 22 0.0 30.0
0.0 23.0 25 30
8 18 0.0 30.0
0.0 23.0 10 25
13 16 0.0 30.0
0.0 23.0 1 16
9 11 0.0 30.0
0.0 23.0 13 28
21 23 0.0 30.0
0.0 23.0 7 11
6 15 0.0 30.0
0.0 23.0 18 28
4 14 0.0 30.0
0.0 23.0 25 28
7 10 0.0 30.0
0.0 23.0 8 21
9 17 0.0 30.0
0.0 23.0 11 21
2 22 0.0 30.0
0.0 23.0 15 29
19 23 0.0 30.0
0.0 23.0 19 24
21 23 0.0 30.0
0.0 23.0 1 14
19 21 0.0 30.0
0.0 23.0 13 19
19 22 0.0 30.0
0.0 23.0 10 27
4 16 0.0 30.0
0.0 23.0 24 30
14 18 0.0 30.0
0.0 23.0 13 20
14 20 0.0 30.0
0.0 23.0 28 30
19 22 0.0 30.0
0.0 23.0 12 22
6 13 0.0 30.0
0.0 23.0 19 29
15 21 0.0 30.0
0.0 23.0 14 19
17 20 0.0 30.0
0.0 23.0 6 17
20 23 0.0 30.0
0.0 23.0 11 24
15 18 0.0 30.0
0.0 23.0 23 29
16 22 0.0 30.0
0.0 23.0 10 15
19 22 0.0 30.0
0.0 23.0 9 16
1 23 0.0 30.0
0.0 23.0 23 30
7 21 0.0 30.0
0.0 23.0 24 28
18 22 0.0 30.0
0.0 23.0 10 26
19 22 0.0 30.0
0.0 23.0 25 29
2 4 0.0 30.0
0.0 23.0 18 21
13 23 0.0 30.0
0.0 23.0 22 25
4 12 0.0 30.0
0.0 23.0 27 29
21 23 0.0 30.0
0.0 23.0 25 28
11 19 0.0 30.0
0.0 23.0 14 22
10 14 0.0 30.0
0.0 23.0 16 21
11 20 0.0 30.0
0.0 23.0 5 16
16 19 0.0 30.0
0.0 23.0 4 19
10 17 0.0 30.0
0.0 23.0 8 26
7 17 0.0 30.0
0.0 23.0 19 27
15 23 0.0 30.0
0.0 23.0 23 30
19 22 0.0 30.0
0.0 23.0 22 28
8 13 0.0 30.0
0.0 23.0 17 27
9 13 0.0 30.0
0.0 23.0 11 28
6 22 0.0 30.0
0.0 23.0 21 27
15 22 0.0 30.0
0.0 23.0 6 16
0 12 0.0 30.0
0.0 23.0 9 13
4 22 0.0 30.0
0.0 23.0 9 18
5 22 0.0 30.0
0.0 23.0 17 20
7 17 0.0 30.0
0.0 23.0 19 24
8 14 0.0 30.0
0.0 23.0 13 21
4 17 0.0 30.0
0.0 23.0 20 23
6 22 0.0 30.0
0.0 23.0 23 25
10 19 0.0 30.0
